Question,Answer
Where can students or parents get the latest updates about transport routes  and   fees  ,"The latest transport details, including fees, routes,  and   updates, can be obtained from the official Crescent College website or directly from the transport desk at the campus."
crescent website,https://crescent.education/
about crescent,https://crescent.education/about-us/
about COE office,https://crescent.education/examinations-2/
circular from COE office about exams/exam fees,https://crescent.education/circular-examinations/
exam schedules,https://crescent.education/schedule-of-exams-examinations/
examination instructions,https://crescent.education/instructions-examinations/
exam fee payment details,https://crescent.education/payment-examinations/
Exam results details,https://crescent.education/exam-result-examinations/
Revaluation exam details,https://crescent.education/revulation-examinations/
Exam reforms - exam structure details,https://crescent.education/reforms-examinations/
TC/Duplicate certificate/grade sheet correction/ application form details,https://crescent.education/forms-examinations/
Question paper format,https://crescent.education/question-paper-format-examinations/
instructions for certificate verification ,https://crescent.education/instructions-for-certificate-verifications/
cgpa to percentage conversion,https://crescent.education/cgpa-examinations/
convocation details,https://crescent.education/convocation-examinations/
crescent gallery,https://crescent.education/gallary/
organizational structure/position hierarchy in crescent,https://crescent.education/wp-content/uploads/2023/04/Organizational-Structure-23.03.2023.pdf
job description,https://crescent.education/careers/#job
"Employee service rule procedure, Recruitment, promotional policies & Duties,  and   Responsibilities",https://crescent.education/wp-content/uploads/2023/04/Service-rules.pdf
"BYE-LAWS, Rules & regulations",https://crescent.education/wp-content/uploads/2017/09/BYELAWS.pdf
About faculty training academy in crescent,https://crescent.education/crescent-faculty-training-academy-careers/
"code of conduct-teachers,non-teaching staff, administrators,employees",https://crescent.education/wp-content/uploads/2024/05/code-of-conduct.pdf
Governance of crescent,https://crescent.education/wp-content/uploads/2019/11/CODE-OF-CONDUCT-FOR-ADMINISTRATORS.pdf
"contact details of crescent/mailID,location,number,address",https://crescent.education/contact-us/
Fees structure for international students,https://crescent.education/study-in-india/
engineering admission application,https://crescent.education/engineering-admissions-2025/
online education website,https://online.crescent-institute.edu.in/
distance education website,https://distance.crescent-institute.edu.in/
"distance education - BA Islamic studies, Eligibility  and   fees structure",https://distance.crescent-institute.edu.in/bais_eligiblity
"Distance education - BA Isalmic Studies , Syllabus",https://distance.crescent-institute.edu.in/bais_syllabus
"Distance education - BA Isalmic Studies , Regulations",https://distance.crescent-institute.edu.in/img/bais/DeanAA-BAIslamic-StudiesR2021.pdf
"Distance Education - BA Islamic studies, Faculties details",https://distance.crescent-institute.edu.in/baispeople
Distance education - MCA faculties details,https://distance.crescent-institute.edu.in/baispeople
Distance education - MBA faculties details,https://distance.crescent-institute.edu.in/baispeople
"Distance education - MBA, Eligibility  and   fees structure",https://distance.crescent-institute.edu.in/mba-eligiblity
"Distance education -MBA, Regulations",https://crescent.education/wp-content/uploads/2021/11/DeanAA-MBA-MCA-ODL- and  -OL-Regulations2021-24.11.2021-F.pdf
"Distance education - MBA, syllabus",https://distance.crescent-institute.edu.in/mba-syllabus
Distance education - MCA Eligibility  and   Fees structure,https://distance.crescent-institute.edu.in/mca-eligiblity
"Distance education -MCA, Regulations",https://crescent.education/wp-content/uploads/2021/11/DeanAA-MBA-MCA-ODL- and  -OL-Regulations2021-24.11.2021-F.pdf
"Distance education - MCA, syllabus",https://distance.crescent-institute.edu.in/mca-syllabus
How to apply for distance education courses,https://distance.crescent-institute.edu.in/how-to-apply
Online application form for Distance education,https://odladmission.crescent-institute.edu.in/login/signup.php  
Online applicant login page for distance education,https://odladmission.crescent-institute.edu.in/login/index.php
Distance education students LMS login,https://lmscdoe.crescent-institute.edu.in/login/index.php
"Distance education Queries, contact details",https://distance.crescent-institute.edu.in/faq#footer
Online education website,https://online.crescent-institute.edu.in/
"online education - BA Islamic Studies, faculties details",https://online.crescent-institute.edu.in/baispeople
"online education - BA Islamic Studies, Eligibility  and   fees structure",https://online.crescent-institute.edu.in/bais_eligiblity
"online education - BA Islamic Studies, Regulations",https://online.crescent-institute.edu.in/img/bais/DeanAA-BAIslamic-StudiesR2021-CS-24.08.22-F%20(1).pdf
"online education - BA Islamic Studies, Syllabus",https://online.crescent-institute.edu.in/bais_syllabus
online education - MCA faculties details,https://online.crescent-institute.edu.in/mca-people
online education - MBA faculties details,https://online.crescent-institute.edu.in/mba-people
"online education - MBA, Eligibility  and   fees structure",https://online.crescent-institute.edu.in/mba-eligiblity
"online education -MBA, Regulations",https://crescent.education/wp-content/uploads/2021/11/DeanAA-MBA-MCA-ODL- and  -OL-Regulations2021-24.11.2021-F.pdf
"online education - MBA, syllabus",https://online.crescent-institute.edu.in/mba-syllabus
online education - MCA Eligibility  and   Fees structure,https://online.crescent-institute.edu.in/mca-eligiblity
"online education -MCA, Regulations",https://crescent.education/wp-content/uploads/2021/11/DeanAA-MBA-MCA-ODL- and  -OL-Regulations2021-24.11.2021-F.pdf
"online education - MCA, syllabus",https://online.crescent-institute.edu.in/mca-syllabus
How to apply for online education courses,https://online.crescent-institute.edu.in/how-to-apply
Online application form for online education,https://admission.crescent-institute.edu.in/login/signup.php  
Online applicant login page for online education,https://admission.crescent-institute.edu.in/login/index.php
onlline education students LMS login,https://lmscdoe.crescent-institute.edu.in/login/index.php
"online education Queries, contact details",https://online.crescent-institute.edu.in/faq#footer
undergraduate programmes offered at crescent,https://crescent.education/ug/
undergraduate programmes eligibility,https://crescent.education/ug/
undergraduate programmes fees structure,https://crescent.education/ug/
undergraduate programmes minor degree programs,https://crescent.education/ug/
post graduate programmes offered at crescent,https://crescent.education/pg/
post graduate programmes eligibility,https://crescent.education/pg/
post graducate programmes fees structure,https://crescent.education/pg/
undergraduate programmes offered at crescent for NRI/Foreign students,https://crescent.education/ug-nri-menu/
Postgraduate programmes offered at crescent for NRI/Foreign students,https://crescent.education/pg-nri-menu/
Ph.D programmes offered at crescent for NRI/ Foregin students,https://crescent.education/phd-nri-menu/
NRI/Foreign national admissions eligibility,https://crescent.education/eligibility-nri-menu/
NRI/Foreign national admissions eligibility fees structure,https://crescent.education/nri-fee-structure/
Documents required for NRI admissions,https://crescent.education/document-nri-menu/
Documents required for foregin naional admissions,https://crescent.education/document-foreign-national/
About crescent research department,https://crescent.education/research-about-us/
Rearch faculty team details,https://crescent.education/research-our-team/
"Ph.D regulations(admission procedure, ph.d programme procedure)",https://crescent.education/ph-d-regulation/
Research promotion policy,https://crescent.education/research-promotion-policy/
Ph.D admission process,https://crescent.education/admission-to-ph-d/
Post-Doctoral fellowship details,https://crescent.education/post-doctoral-fellowship/
scholars journals  and   publications,https://crescent.education/journals-publications/
Incentive scheme for ph.d scholars,https://crescent.education/research-incentive-scheme- and  -awards/
about mechanical department,https://crescent.education/mechanical-department/
Mechanical department programmes offered  and   syllabus,https://crescent.education/programmes-approved-mechanical-1/
minor degree programmes for mechanical department,https://crescent.education/minor-mechanical-department/
Mechanical department infrastructure facilitites,https://crescent.education/infrastructure-mechanical/
mechanical department placement details,https://crescent.education/placement-mechanical/
mechanical department faculty details,https://crescent.education/faculty-mechanical-1/
Mechanical department Ph.d awarded,https://crescent.education/ph-d-awarded-mechanical-1/
about polymer engineering department,https://crescent.education/polymer-engineering/
polymer engineering department syllabus/programme offered,https://crescent.education/programme-polymer-engineering/
polymer engineering infrastructure facilities,https://crescent.education/infrastucture-polymer/
Polymer engineering placement details,https://crescent.education/placement-details/
about department of aerospace engineering,https://crescent.education/aerospace-engineering/#asp-overview
Aerospace engineering department syllabus,https://crescent.education/programme-aerospace-engineering/
Aerospace engineering department infrastructure details,https://crescent.education/infrastructure-aerospace/
About automobile department,https://crescent.education/automobile-engineering/
Automobile department programmes syllabus,https://crescent.education/programmes-offered-automobile/
Automobile department infrastructure details,https://crescent.education/infrscture-automobile-engineering/
About civil department,https://crescent.education/civil-engineering/
Civil department programmes syllabus,https://crescent.education/programmes-civil/
Civil department Infrastructure details,https://crescent.education/infrastructure-civil/
Civil department placement details,https://crescent.education/civil-engineering-placement/
About Electrical  and   Electronics Engineering (EEE) department,https://crescent.education/eee/
EEE department programmes syllabus,https://crescent.education/programes-e-e-e/
EEE department infrastructure details,https://crescent.education/infrastructure-e-e-e/
EEE department placement details,https://crescent.education/eee-placement/
About Electronics  and   communication engineering -ECE department ,https://crescent.education/ece/#over
ECE department programmes syllabus,https://crescent.education/programmes-e-c-e/
ECE department placement details,https://crescent.education/placement-e-c-e/
ECE department infrastructure details,https://crescent.education/infrastructre-e-c-e/
About ELECTRONICS  and   INSTRUMENTATION ENGINEERING-EIE department,https://crescent.education/eie/
EIE department programmes syllabus,https://crescent.education/programme-e-i-e/
EIE department placement details,https://crescent.education/placement-eie/
EIE department infrastructure details,https://crescent.education/infracture-e-i-e/
About Computer science Engineering - CSE details,https://crescent.education/cse/
CSE department programmes syllabus details,https://crescent.education/programme-cse/
CSE department placement details,https://crescent.education/placement-cse/
CSE department infrastructure details,https://crescent.education/infrastructure-cse/
About IT department details,https://crescent.education/it-3/
IT department programmes syllabus details,https://crescent.education/programmes-it/
IT department infrastructure details ,https://crescent.education/infrastructure-it/
IT department placement details,https://crescent.education/information-technology/placement/
About department of Computer applications-CA details,https://crescent.education/computer-applications-2/
CA department programmes syllabus ,https://crescent.education/programmes-computer-applications/
CA department placement details,https://crescent.education/computer-applications-placement/
CA department Infrastructure details,https://crescent.education/infrasture-computer-applications/
About department of mathematice & Actuarial Science,https://crescent.education/mathematics-actuarial-science-3/
Mathematics department programmes syllabus,https://crescent.education/programme-mathematics-actuarial-science/
Mathematics department infrastructure details,https://crescent.education/insfrasture-mathematics-actuarial-science/
About department of management studies,https://crescent.education/management-studies-3/
Management studies department programmes syllabus details,https://crescent.education/programmes-management-studies/
Management studies department infrastructure details,https://crescent.education/infrasture-management-studies/
About department of physics details,https://crescent.education/physics-4/
Physics department programmes syllabus details,https://crescent.education/programme-physics/
Physics department Infrastructure details,https://crescent.education/infrastructure-physics/
About department of chemistry details,https://crescent.education/chemistry-3/
Chemistry department programmes syllabus details,https://crescent.education/progrmme-chemistry/
Chemistry department Infrastructure details,https://crescent.education/infrastructure-chemistry/
About lifescience department details,https://crescent.education/life-science-2/
Lifescience department programmes syllabus details,https://crescent.education/programme-life-science/
Lifescience department placement details,https://crescent.education/infrastructure-lifescience/
About pharmacy department,https://crescent.education/pharmacy-2/
Pharmacy department programme syllabus details,https://crescent.education/programme-pharmacy/
Pharmacy department infrastructure details,https://crescent.education/infrastructure-pharmacy/
About law department,https://crescentschooloflaw.com/about-us/
Law department undergraduate programme details,https://crescentschooloflaw.com/under-graduate/
Law department postgraduate programme details,https://crescentschooloflaw.com/post-graduate/
Law departement NRI-admissions details,https://crescentschooloflaw.com/nri-admissions/
Law department infrastructure details,https://crescentschooloflaw.com/infrastructure/
Architecture department details,https://www.crescentschoolofarchitecture.com/
About english department,https://crescent.education/overview-english/
English department programmes syllabus details,https://crescent.education/programmes-offered-english/
About commerce department,https://crescent.education/department-of-commerce/
Commerce department programmes  syllabus details,https://crescent.education/overview-commerce/
About department of public policy,https://crescent.education/overview-public-policy/
Public policy department programmes syllabus details,https://crescent.education/programmes-offered-public-policy/
May I know the fee structure for the B. Tech. Civil Engineering programme for the academic year 2025?26  ,"The tuition fee is based on the student's percentage in their qualifying examination:
90% and above: ?75,000 per year ,
80% to 89.99%: ?1,00,000 per year,
70% to 79.99%: ?1,25,000 per year,
60% to 69.99%: ?1,50,000 per year,
Below 60%: ?1,75,000 per year."
Could you please provide the fee details for B. Tech. Mechanical Engineering  ,"The annual tuition fee for B.Tech. in Mechanical Engineering is merit-based:
90% and above: ?75,000,
80% to 89.99%: ?1,00,000,
70% to 79.99%: ?1,25,000,
60% to 69.99%: ?1,50,000,
Below 60%: ?2,00,000 ."
I would like to enquire about the fees for B. Tech. Automobile Engineering.,"Automobile Engineering : 
90% and above: ??75,000,
80% to 89.99%: ?1,00,000,
70% to 79.99%: ?1,25,000,
60% to 69.99%: ?1,50,000,
Below 60%: ?1,75,000 ."
Kindly share the fee structure for B. Tech. Aeronautical Engineering.,"Aeronautical Engineering:
90% and above: ?75,000,
80% to 89.99%: ?1,00,000,
70% to 79.99%: ?1,25,000,
60% to 69.99%: ?1,50,000,
Below 60%: ?2,00,000."
May I get the complete fee information for B. Tech. Polymer Engineering  ,"Polymer Engineering:
90% and above: ?75,000,
80% to 89.99%: ?1,00,000,
70% to 79.99%: ?1,25,000,
60% to 69.99%: ?1,50,000,
Below 60%: ?1,75,000.
"
Please provide the fee structure for B. Tech. Electrical  and   Electronics Engineering.,"Electrical and Electronics Engineering (EEE):
90% and above: ?75,000,
80% to 89.99%: ?1,00,000
70% to 79.99%: ?1,25,000,
60% to 69.99%: ?1,50,000,
Below 60%: ?1,75,000."
Can you share the fee details for B. Tech. Electronics  and   Communication Engineering  ,"Electronics and Communication Engineering (ECE):
90% and above: ?1,00,000,
80% to 89.99%: ?1,25,000,
70% to 79.99%: ?1,50,000,
60% to 69.99%: ?2,00,000,
Below 60%: ?2,50,000."
I would like to know the fee structure for B. Tech. Electronics  and   Computer Engineering.,"Electronics and Computer Engineering:
90% and above: ?1,00,000,
80% to 89.99%: ?1,25,000,
70% to 79.99%: ?1,50,000,
60% to 69.99%: ?2,00,000,
Below 60%: ?2,50,000."
May I request the fee details for B. Tech. Electronics  and   Instrumentation Engineering  ,"Electronics and Instrumentation Engineering
90% and above: ?75,000,
80% to 89.99%: ?1,00,000,
70% to 79.99%: ?1,25,000,
60% to 69.99%: ?1,50,000,
Below 60%: ?1,75,000."
Kindly let me know the fees for B. Tech. Artificial Intelligence  and   Data Science.,"Artificial Intelligence and Data Science:
90% and above: ?2,00,000
80% to 89.99%: ?2,50,000,
70% to 79.99%: ?3,00,000,
60% to 69.99%: ?3,50,000,
Below 60%: ?4,00,000."
Could you please send the fee structure for B. Tech. Computer Science  and   Engineering  ,"Computer Science and Engineering (CSE) :
90% and above: ?1,50,000,
80% to 89.99%: ?2,00,000,
70% to 79.99%: ?2,50,000,
60% to 69.99%: ?3,00,000,
Below 60%: ?3,50,000."
I would like to enquire about the fees for B. Tech. Computer Science  and   Engineering (Cyber Security).,"CSE (Cyber Security Specialization)
90% and above: ?1,50,000,
80% to 89.99%: ?2,00,000
70% to 79.99%: ?2,50,000,
60% to 69.99%: ?3,00,000,
Below 60%: ?3,50,000."
Can you share the fee structure for B. Tech. Computer Science  and   Engineering (Internet of Things)  ,"CSE (Internet of Things Specialization)
90% and above: ?1,50,000,
80% to 89.99%: ?2,00,000,
70% to 79.99%: ?2,50,000,
60% to 69.99%: ?3,00,000,
Below 60%: ?3,50,000."
May I know the fee details for B. Tech. Information Technology  ,"Information Technology (IT)
90% and above: ?1,25,000,
80% to 89.99%: ?1,75,000,
70% to 79.99%: ?2,00,000,
60% to 69.99%: ?2,50,000,
Below 60%: ?3,00,000."
Please provide the complete fee structure for B. Tech. Biotechnology.,"The tuition fee for B.Tech. in Biotechnology at Crescent Institute is ??1,75,000 per year.
"
I would like to know the fee structure for the B. Arch. programme.,"For B.Arch., the tuition fee is determined by both 12th standard marks and NATA score.
Based on 12th Marks:
? 80% and above is  ?2,00,000 per year
? Below 80%  is ?2,50,000 per year
Based on NATA Score (out of 200):
? 140 and above is  ?1,25,000
? 120 to 139   is  ?1,50,000
? 100 to 119  is  ?1,75,000
? 80 to 99  is ?2,00,000
? Below 80  is ?2,50,000 ."
Can you please share the fees for the B. Des. (Bachelor of Design) course  ,"The tuition fee for B.Des. in Interior Design is based on the 12th standard marks:
For students with 80% and above, the fee is ?90,000 per year.
For students with 70% to 79.99%, the fee is ?1,10,000 per year.
For students with 60% to 69.99%, the fee is ?1,30,000 per year.
For students with below 60%, the fee is ?1,50,000 per year.
In addition, there is a one-time amenities fee of ?40,000 applicable to all students."
May I get the fee details for B. Pharm.  ,"The tuition fee for the B.Pharm program is ??2,00,000 per year.
"
Kindly provide the fee structure for BBA LLB (Hons.).,"The tuition fee for BBA LLB (Hons.) is as follows:
If the student has 80% and above, the fee is ?1,50,000 per year.
If the student has below 80%, the fee is ?1,70,000 per year."
I would like to enquire about the fees for BA LLB (Hons.).,"The tuition fee for BA LLB (Hons.) is as follows:
If the student has 80% and above, the fee is ?1,50,000 per year.
If the student has below 80%, the fee is ?1,70,000 per year."
Could you please share the fee details for B. Sc. Aviation  ,"The tuition fee for B.Sc. in Aviation is ?1,80,000 per year.
"
May I know the fee structure for B. Sc. Biotechnology  ,"The tuition fee for B.Sc. in Biotechnology is ?1,00,000 per year.
"
Please provide the fee information for B. Sc. Computer Science.,"The tuition fee for B.Sc. in Computer Science is ?1,20,000 per year."
Can you let me know the fees for the BCA programme  ,"The tuition fee for the Bachelor of Computer Applications (BCA) program is ?1,00,000 per year."
Kindly send the fee structure for B. Com. General.,"The tuition fee for B.Com. General is ?1,10,000 per year."
I would like to enquire about the fees for B. Com. Accounts & Finance.,"The tuition fee for B.Com. Accounts & Finance is ?1,10,000 per year."
May I get the fee details for B. Com. Professional Accounting  ,"The tuition fee for B.Com. in Professional Accounting is ?1,30,000 per year."
Could you please share the fee structure for B. Com. International Accounting & Finance  ,"The tuition fee for B.Com. in International Accounting & Finance is ?1,40,000 per year."
I would like to know the fees for BBA General.,"The tuition fee for the BBA (General) program is ?1,20,000 per year."
Kindly provide the fee structure for B.A. Public Policy.,"The tuition fee for B.A. in Public Policy is ?1,00,000 per year.
"
May I request the fee details for B.A. English  ,"The tuition fee for B.A. in English is ?60,000 per year."
What is amenities fees for arts and science students,"The amenities fees for Arts and Science programme is 25,000"
Please share the fees for B.A. Islamic Studies.,"B.A. Islamic Studies ? English Medium ? Tuition fee per year  fees 20,000(inr).
B.A. Islamic Studies ? Arabic Medium ? Tuition fee per year  fees 10,000(inr)."
B. Tech programmes fees structure on basis of what  ,"Tuition Fee Per yearÿbased onÿ% of Marks in Maths, Physics & Chemistry in 12thÿStandard Exam (INR)  and   amenities fees & service fee (one-time)"
B. Tech lateral entry programmes fees structure on basis of what  ,Tuition Fee Per Year Based on overall % of Marks in Diploma Examination (INR)  and   amenities fees & service fee (one-time) also based on NATA score out of 200 ( Mandatory)
B. Tech Architechture programme fees Basis,Tuition Fee Per Year (INR)Based on % of Marks in 12th Standard Exam  and   Amenities & Service Fee (INR)(One-time)                          
B. Des. Interior Design programme fess basis,Tuition Fee Per year based on Overall % of Marks in 12th Standard exam (75%)  and   in the Entrance exam (25%) (INR)  and   amenities fees & service fee (one-time)
UG Law & Pharmacy Programmes fees On the basis of what  ,Tuition Fee Per Year % of Marks in 12th St and  ard Exam (INR)  and   Amenities & Service Fee (INR)(One?time)
UG Arts & Science Programmes fees on basis of  ,Fixed tution fee per year  and   amenities & service fee(one-time)
How much is amenities fee&service fee for B. Tech programmes  ,"amenities  and   service fee(one time) is 40,000/-"
What is the fees of Artificial Intelligence  and   Data Science for lateral entry  ,"The tuition fee for the Artificial Intelligence and Data Science program is based on 12th standard marks. For 90 percent and above, the fee is ? 2,00,000 per year. For 80 to 89.99 percent, the fee is ? 2,50,000. For 70 to 79.99 percent, it is ? 3,00,000. For 60 to 69.99 percent, it is ? 3,50,000. For 60 percent and below, the fee is ? 4,00,000."
What is the fees of Computer Science  and   Engineering for lateral entry  ,"The tuition fee for Computer Science and Engineering is ? 1,50,000 per year for students with 90 percent and above. For 80 to 89.99 percent, it is ? 2,00,000. For 70 to 79.99 percent, it is ? 2,50,000. For 60 to 69.99 percent, it is ? 3,00,000. For 60 percent and below, it is ? 3,50,000."
What is the fees of Computer Science  and   Engineering (Cyber Security) for lateral entry  ,"The tuition fee for Computer Science and Engineering with Cyber Security specialization is ? 1,50,000 for 90 percent and above. ? 2,00,000 for 80 to 89.99 percent. ? 2,50,000 for 70 to 79.99 percent. ? 3,00,000 for 60 to 69.99 percent and ? 3,50,000 for 60 percent and below."
What is the fees of Computer Science  and   Engineering (IoT) for lateral entry  ,"The tuition fee for Computer Science and Engineering with Internet of Things specialization is ? 1,50,000 for 90 percent and above. ? 2,00,000 for 80 to 89.99 percent. ? 2,50,000 for 70 to 79.99 percent. ? 3,00,000 for 60 to 69.99 percent and ? 3,50,000 for 60 percent and below."
What is the fees of Information Technology for lateral entry  ,"The tuition fee for Information Technology is ? 1,25,000 for 90 percent and above. ? 1,50,000 for 80 to 89.99 percent. ? 1,75,000 for 70 to 79.99 percent. ? 2,00,000 for 60 to 69.99 percent and ? 2,50,000 for 60 percent and below."
What is the fees of Electronics & Communication Engineering for lateral entry  ,"The tuition fee for Electronics and Communication Engineering is ? 1,00,000 for 90 percent and above. ? 1,25,000 for 80 to 89.99 percent. ? 1,50,000 for 70 to 79.99 percent. ? 2,00,000 for 60 to 69.99 percent and ? 2,50,000 for 60 percent and below."
What is the fees of Electronics & Computer Engineering for lateral entry  ,"The tuition fee for Electronics and Computer Engineering is ? 1,00,000 for 90 percent and above. ? 1,25,000 for 80 to 89.99 percent. ? 1,50,000 for 70 to 79.99 percent. ? 2,00,000 for 60 to 69.99 percent and ? 2,50,000 for 60 percent and below."
What is the fees of Biotechnology for lateral entry  ,"The tuition fee for Biotechnology in engineering is ? 1,00,000 for 90 percent and above. ? 1,25,000 for 80 to 89.99 percent. ? 1,50,000 for 70 to 79.99 percent. ? 1,75,000 for 60 to 69.99 percent and ? 2,00,000 for 60 percent and below."
What is the fees of Mechanical Engineering for lateral entry  ,"The tuition fee for Mechanical Engineering is ? 75,000 for 90 percent and above. ? 1,00,000 for 70 to 89.99 percent. ? 1,50,000 for 60 to 69.99 percent and ? 2,00,000 for below 60 percent."
What is the fees of Aeronautical Engineering for lateral entry  ,"The tuition fee for Aeronautical Engineering is ? 75,000 for 90 percent and above. ? 1,00,000 for 70 to 89.99 percent. ? 1,50,000 for 60 to 69.99 percent and ? 2,00,000 for below 60 percent."
What is the fees of Electrical & Electronics Engineering for lateral entry  ,"The tuition fee for Electrical and Electronics Engineering is ? 75,000 for 90 percent and above. ? 1,00,000 for 70 to 89.99 percent. ? 1,50,000 for 60 to 69.99 percent and ? 1,75,000 for below 60 percent."
What is the fees of Electronics & Instrumentation Engineering for lateral entry  ,"The tuition fee for Electronics and Instrumentation Engineering is ? 75,000 for 90 percent and above. ? 1,00,000 for 70 to 89.99 percent. ? 1,50,000 for 60 to 69.99 percent and ? 1,75,000 for below 60 percent."
What is the fees of Automobile Engineering for lateral entry  ,"The tuition fee for Automobile Engineering is ? 75,000 for 90 percent and above. ? 1,00,000 for 70 to 89.99 percent. ? 1,50,000 for 60 to 69.99 percent and ? 1,75,000 for below 60 percent."
What is the fees of Polymer Engineering for lateral entry  ,"The tuition fee for Polymer Engineering is ? 75,000 for 90 percent and above. ? 1,00,000 for 70 to 89.99 percent. ? 1,50,000 for 60 to 69.99 percent and ? 1,75,000 for below 60 percent."
What is the fees of Civil Engineering for lateral entry  ,"The tuition fee for Civil Engineering is ? 75,000 for 90 percent and above. ? 1,00,000 for 70 to 89.99 percent. ? 1,50,000 for 60 to 69.99 percent and ? 1,75,000 for below 60 percent."
What is the fee structure for M. Tech. Avionics  ,"The tuition fee per year for M.Tech. in Avionics is ? 80,000."
What is the fee for M. Tech. Biotechnology  ,"The tuition fee per year for M.Tech. in Biotechnology is ? 1,00,000."
Can you tell me the fees for M. Tech. Food Biotechnology  ,"The tuition fee per year for M.Tech. in Food Biotechnology is ? 1,00,000."
What is the tuition fee for M. Tech. CAD-CAM  ,"The tuition fee per year for M.Tech. in CAD CAM is ? 80,000."
What is the fee for M. Tech. Computer Science & Engineering  ,"The tuition fee per year for M.Tech. in Computer Science and Engineering is ? 80,000."
May I know the fees for M. Tech. Construction Engineering & Project Management  ,"The tuition fee per year for M.Tech. in Construction Engineering and Project Management is ? 80,000."
What is the fee structure of M. Tech. Information Technology  ,"The tuition fee per year for M.Tech. in Information Technology is ? 80,000."
What are the fees for M. Tech. Artificial Intelligence  and   Data Science  ,"The tuition fee per year for M.Tech. in Artificial Intelligence and Data Science is ? 80,000."
What is the tuition fee for M. Tech. Structural Engineering  ,"The tuition fee per year for M.Tech. in Structural Engineering is ? 80,000."
Can you tell me the fees for M. Tech. VLSI & Embedded Systems  ,"The tuition fee per year for M.Tech. in VLSI and Embedded Systems is ? 80,000."
What is the fee for M. Tech. Power Systems Engineering  ,"The tuition fee per year for M.Tech. in Power Systems and Engineering is ? 80,000."
What is the fee structure for M. Arch.  ,"For the M.Arch. programme, tuition fee per year is ?50,000 for UG CGPA 9.0 and above, ?60,000 for CGPA 8.0?8.9, ?80,000 for CGPA 7.0?7.9, and ?1,00,000 for CGPA below 7.0; tuition can be paid semester-wise and a one-time amenities and service fee applies."
What is the fee for MBA ? Business Administration  ,"The tuition fee per year for MBA in Business Administration is ? 2,10,000 for 65 percentiles and above in CAT, XAT or GMAT or 85 percentiles and above in MAT, CMAT, TANCET or ATMA. It is ? 2,35,000 for 50 to 64 percentiles in CAT, XAT or GMAT or 60 to 84 percentiles in MAT, CMAT, TANCET or ATMA or 80 percentiles and above in CSBAT. It is ? 2,60,000 for scores below these ranges."
Can you tell me the tuition fee for MBA ? IEV (Innovation Entrepreneurship  and   Venture Development)  ,"The tuition fee per year for MBA in Innovation, Entrepreneurship and Venture Development is ? 3,50,000 including amenities and service fees."
What are the fees for the MCA programme  ,"The tuition fee per year for MCA is ? 80,000 for students with 9.0 CGPA and above in UG and ? 1,20,000 for students with CGPA below 9.0."
What is the fee structure for M.Pharm. (Pharmaceutics)  ,"M. Pharm ? tuition fee per year is   1,75,000"
Can you tell me the fees for LLM (Criminal Law)  ,"LLM (Criminal Law) ? tuition fee per year is   1,00,000"
What is the tuition fee for M. Sc. Actuarial Science  ,"M. Sc. Actuarial Science ? tuition fee per year is   50,000"
What are the fees for M. Sc. Physics  ,"M. Sc. Physics ? tuition fee per year is   50,000"
What is the fee for M. Sc. Chemistry  ,"M. Sc. Chemistry ? tuition fee per year is   50,000"
What is the fee structure of M. Sc. Clinical Embryology  ,"M. Sc. Clinical Embryology ? tuition fee for 2 years is   8,00,000."
Can you tell me the tuition fee for M. Sc. Stem Cell Technology  ,"M. Sc. Stem Cell Technology ? tuition fee for 2 years is   10,00,000"
What are the fees for M. Sc. Biotechnology  ,"M. Sc. Biotechnology ? tuition fee per year is   50,000"
What is the fee for M. Sc. Microbiology  ,"M. Sc. Microbiology ? tuition fee per year is   50,000"
What is the tuition fee for M. Sc. Biochemistry & Molecular Biology  ,"M. Sc. Biochemistry & Molecular Biology ? tuition fee per year is   50,000"
What is the fee for M.Com. (Offered in second shift)  ,"M.Com. (Offered in second shift) ? tuition fee per year is   50,000"
what is amenities fees at crescent,"Amenities Fee is a one-time charge that covers access to campus facilities and services such as library, Wi-Fi, sports, wellness, medical care, infrastructure, placements, and cultural activities throughout the course of study."
what is amenities fees of postgraduate program at crescent,"amenities  and   service fee(one time) of postgraduate programmes is 20,000/-"
Can you tell me the fees for M.A. Islamic Studies  ,"M.A. Islamic Studies ? tuition fee per year is   20,000"
post graduate programmes fees basis,Tution fees per year  and   amenities fee (one time)
What is the NRI tuition fee structure for B.Tech. based on 12th PCM percentage  ,"B. Tech programme Tuition Fee per year (USD) for NRI/ Foreign national admissions - percentage of marks in  Physics, Chemistry & Maths in 12th St and  ard Exam - 90%  and   above - 2500  and   80 to 89.99% - 3000  and   70 to 79.99% - 4000  and   60 to 69.99% - 5000  and   Below 60%v  - 6000.  and   amenities & servie fee (one - time) USD - 500"
What is the NRI tuition fee for B.Arch. based on overall percentage in 12th st and  ard  ,"B. Arch - Tutition fee per year  - Overall Percentage of Marks in 12th St and  ard Exam	 
80%  and   above - 3000 USD  and   60 to 79 % - 4000 USD  and   Below 60% - 7000 USD"
Can you provide the NRI fee structure for B.Des.  ,"B. Des. - Tutition fee per year  - Overall Percentage of Marks in 12th St and  ard Exam	 
80%  and   above - 2000 USD  and   60 to 79 % - 3000 USD  and   Below 60% - 5000 USD"
